FULL_ADDRESS,Type,Description,Municipality,Community,Days,%,List Price,Sold Price,Expiry Date,Street Name,St#,Bedroom,BedPlus,Wr,Garage Type,Parking Drive Spaces,Pool,Contract Date,Sold Date,Remarks For Clients,Extras,Address,Postal Code,Municipality District
"57 Epps Cres, Ajax, ONTARIO, CANADA, L1Z1G2",Detached,2-Storey,Ajax,Central,7,99,"$539,900 ","$536,000 ",2018-02-21,Epps,57,3,,2,Attached,1,None,2017-12-01,2017-12-08,Beautiful Home In A Wonderful Family Neighbourhood! Close To All Amenities! Schools! Shopping! Transit! Parks! Wow!! Open Concept! Bright & Spacious! Very Well Maintained Home! Quartz Counter Top In Kitchen & Bathrooms! Walk Out To Deck And Lovely Backyard! Perfect For Entertaining! Carpet On Stairs And All Of The Second Floor Was Replaced November 2017! Open Concept Rec Room!,Windows Have Been Replaced 2017!,57 Epps Cres,L1Z1G2,Ajax
"20 Gardiner Dr, Ajax, ONTARIO, CANADA, L1S5Z1",Detached,2-Storey,Ajax,Central,1,99,"$659,800 ","$655,000 ",2018-04-30,Gardiner,20,4,,3,Attached,2,Inground,2018-01-03,2018-01-04,"**Corner Lot** Excellent 4 Bedroom, 3 Bath Detached Family Home. Finished Basement With Rec Rm And Workshop. **Inground Pool** Great Neighbourhood. Walking Distance To Shopping, Public & Catholic Schools. Easy Access To Transit And Hwy 401. Newer (Roof, Furnace, Pool Liner). Garage Can Be Converted Back To 2 Car.","Fridge, Stove, B/I Micro, Dishwasher, Washer, Dryer, Window Coverings, Elf's, Shed, Pool & Equip, Bsmt (Fridge, Freezer), Hwt(R), Grg. Dr Opener & Remotes. Exclude (Fr White Drapes).",20 Gardiner Dr,L1S5Z1,Ajax
"60 Gilmour Dr, Ajax, ONTARIO, CANADA, L1S5J3",Detached,Bungalow,Ajax,Central,48,97,"$589,900 ","$570,000 ",2018-01-22,Gilmour,60,3,1,3,Attached,2,None,2017-11-22,2018-01-09,"Located In A Prime Central Ajax Area, Well Maintained Only 2nd Owner In Quiet Treeline Street. Hardwood Flooring, Stainless Steel Appliances Close To Highway Grocery, Schools, Library, Parks, Shopping And Transit.","S/S Fridge, Stove, Washer, Dryer, Hwt (Owned). Excl: Curtains - Check Video For More Views Of The Inside",60 Gilmour Dr,L1S5J3,Ajax
"51 Harman Dr, Ajax, ONTARIO, CANADA, L1S5H8",Detached,2-Storey,Ajax,Central,4,95,"$649,900 ","$615,000 ",2018-07-11,Harman,51,4,,4,Attached,2,None,2018-01-12,2018-01-16,"Location! Location! Location! Great Value W/4Bd4 Bath Det Family Home Conveniently Located In Central Ajax. Gem Of A Home Situated On Cul De Sac & Backing Onto Greenspace. Newly Renovated $$ Spent W/ Brand New Kitchen W/ Pass Thru & W/O To Fenced Yard. Freshly Painted In Neutral Decor. F/R Features Fireplace. Master W/ Walk-In Closet. Large Rec. Near All Amenities. Big Box Stores, Shopping, Plazas, Restaurants, Schools, Parks & Hwy 401, 407 & Ajax Go Station.","Stainless Steel Appl (Fridge, Stove, Dishwasher All ""As Is"") Freezer. Elf, Hwt Owned. Excludes All Window Coverings, Rods & Mounts (Belongs To Stager).",51 Harman Dr,L1S5H8,Ajax
"95 Hearne Cres, Ajax, ONTARIO, CANADA, L1T3P6",Detached,2-Storey,Ajax,Central,10,101,"$699,990 ","$706,000 ",2018-03-31,Hearne,95,3,1,3,Attached,2,None,2017-12-05,2017-12-15,"Renovated From To To Bottom, Dark Hardwood Floor All Over.Brand New Windows, Brand New Roof, Brand New Furnace, Brand New Kitchen, Brand New Kitchen: Solid Hardwood Cabinet, High Quality Quartz Counter Top, Marble Back Splash, S/S Sink, New Stone Fireplace In Family Room, New High Quality Roller For Window Coverings, Very Large Premium Pool Sized Lot.Interlock Walkway, New Tiles In Kitchen.One Bus To Go Station, Steps To Transit, Parks & Shopping.","Brand New S/S Fridge, S/S Stove, S/S Dishwasher,Range Hood, All Elfs, All Window Coverings, Washer, Dryer.This Is The Dream Home You Are Looking For.Just Action And Move In & Enjoy.",95 Hearne Cres,L1T3P6,Ajax
"10 Holmes Cres, Ajax, ONTARIO, CANADA, L1T3W7",Detached,2-Storey,Ajax,Central,27,97,"$709,999 ","$688,000 ",2018-02-22,Holmes,10,4,,3,Attached,4,None,2017-11-24,2017-12-21,"Beautiful 4 Bedroom Home On A Quiet Cres. Features A Deep Lot With Mature Trees And An Extra Large Deck, Perfect For Entertaining. 4 Car Driveway With No Sidewalks, Freshly Painted, Windows (2017) Roof (2009) Furnace (2015), Central A/C (2012) Formal Living Room And Dining Room, Mstr Bdrm W/Large Sitting Area, Plus Ensuite And W/I Closet, Ceramic Tile Floor And Quartz Counters In Kitchen (2017)","Walking Distance To 4 Schools, Garage Access From Inside, Main Flr Has Mud Room With Laundry Room, Incl: S/S Fridge, S/S Stove, S/S Dishwasher, Washer, And Dryer, All Elf's, Window Coverings, Nat Gas Fireplace, And Backyard Shed.",10 Holmes Cres,L1T3W7,Ajax
"17 Keys Dr, Ajax, ONTARIO, CANADA, L1T3R1",Detached,2-Storey,Ajax,Central,8,98,"$589,900 ","$580,000 ",2018-04-04,Keys,17,3,1,3,Built-In,2,None,2018-01-11,2018-01-19,"Rare Find Property With Separate Entrance Basement Apartment With Kitchen And Full Washroom Rented Before For $850 Per Month Which Will Cover Larger Portion Of Your Mortgage. Renovated Brand New Kitchen With Expensive Counter Top, Renovated All 3 Washrooms, New Tiling Floor, New Garage Door, Brand New Deck In Backyard, Roof 2010, Furnace 2012, Driveway 2015, Interlocked Front Yard, Basement Renovated In 2015 And Had 1 Bedroom And Later The Wall Was Removed","2 Fridges, 2 Stoves, Washer And Dryer, All Elf Including Beautiful Chandelier, Garage Door Opener With One Remote",17 Keys Dr,L1T3R1,Ajax
"475 Kingston Rd W, Ajax, ONTARIO, CANADA, L1S 6M1",Triplex,2-Storey,Ajax,Central,86,91,"$1,259,000 ","$1,150,000 ",2018-01-31,Kingston,475,3,3,5,None,10,None,2017-10-26,2018-01-20,"Absolutely Stunning,Totally Reno'd, Legal Triplex Located In Prime Location! This Property Features Three Separate Units Including 1 Beautifully Renovated 3 Bedroom, 3 Bath 2 Floor Unit, A Second Residential Unit With 2+1 Bedrooms And A Third Unit Providing The Perfect Space For Professional Services, Currently Being Used As A Studio!This Unit Has 2 Offices, Den And An Accessible 2 Pc Bath Plus Commercial Space! Don't Miss Out On This One Of A Kind Property!","S/S Fridge, Stove, Dishwasher. Fridge, Stove In Second Unit. Washer In As Is Condition. Dryer. Elfs, All Window Coverings. Boasts Many Options, Can Be A Great Work/Live Set Up, Or Provide Rental Income! Vendor Take Back Possibility.",475 Kingston Rd W,L1S 6M1,Ajax
"39 Monk Cres, Ajax, ONTARIO, CANADA, L1Zh14",Detached,Bungalow,Ajax,Central,24,98,"$649,000 ","$633,888 ",2018-03-13,Monk,39,2,1,2,Built-In,2,None,2017-12-13,2018-01-06,"Stunning & Completely Renovated Bungalow In Central Ajax. Thousands Spent On Quality Upgrades: Renovated Open Concept Kitchen (2015) W/Quartz Counters, Tall Cabinets, New Sink W/Garburator, S/S Appliances, Windows (2015) Imported From Germany, Elegant Entrance Doors, Central Vacuum, Pot Lights, Bamboo Engineered Floors, New Hot Water Tank, Renovated Bathrooms, Air Jet Tub, Master Bedroom W/Custom Built Closets. 3 Bdrs & 2 Full Baths.","Fin. Basement W/Floor To Ceiling Gas Fireplace, 3rd Bedroom, 3Pc Bath, Above Grade Windows. Beautifully Landscaped Backyard Oasis With Custom Built Deck, Lighting, Hot Tub & Gazebo. Gas Firepit Table. All Appliances Included, A/C, Cvac.",39 Monk Cres,L1Zh14,Ajax
"23 Monk Cres, Ajax, ONTARIO, CANADA, L1Z1H4",Detached,Backsplit 3,Ajax,Central,9,101,"$610,000 ","$615,000 ",2018-06-27,Monk,23,4,,2,Attached,1,None,2017-12-20,2017-12-29,"Welcome To This Rarely Offered 4 Bedroom Backsplit Home Which Is Located In One Of Ajax's Most Sought After Neighborhoods. This Immaculately Maintained Spacious Sun Filled Home Is Ideally Located Close To Highways, Schools, Amenities And Has Public Transit Just Steps Away. Dont Miss Out On This Gem!","Fridge. Stove. Dishwasher, Washer & Dryer",23 Monk Cres,L1Z1H4,Ajax
"14 Ontario St, Ajax, ONTARIO, CANADA, L1S1T5",Detached,2-Storey,Ajax,Central,4,99,"$449,900 ","$445,000 ",2018-03-30,Ontario,14,4,1,2,Detached,3,None,2017-11-27,2017-12-01,"Attention Renovators And Investors! This Four Bedroom Home With Wonderful Curb Appeal Is Looking For Loving Owner To Update/Renovate To Bring Out Its True Character And Charm! On A 40X100 Ft Lot This Home Has A Separate Entrance To A Lower Level With A Second Kitchen, Bachelor Bedroom, Combined Living/Dining And 3-Pc Bath. Huge Potential And Opportunity. Great Ajax Location Close To Transit, Shopping, 401.","Elfs, All Ceiling Fans, Window Coverings, All Appliances. New Shingles On House; Metal Roof Under Shingles On Garage. Was Previously 3 Bedrooms; Can Be Converted Back.",14 Ontario St,L1S1T5,Ajax
"105 Rossland Rd W, Ajax, ONTARIO, CANADA, L1Z1S8",Detached,Bungalow,Ajax,Central,59,97,"$1,650,000 ","$1,600,000 ",2018-04-06,Rossland,105,2,2,3,Detached,8,None,2017-10-10,2017-12-08,"Attention Business Owners, Developers, And Investors - Look No Further. Located In Highly Coveted North Ajax, This Premium Private Lot Is 136' X 290' And Has Unlimited Potential. The Main House Offers Hardwood Floors, Renovated Kitchen (2012), Smooth Ceilings, Potlights, Heated Radiant Floor In Master Bathroom. Separate 25'X40' Insulated, Heated, Detached Garage. Ideal For Contractor, Hobbyist, Car Collector.","Fridge, Stove, Dishwasher, Washer, Dryer, All Electrical Light Fixtures, All Window Coverings And Blinds. Wood Burning Furnace Not Included. Hoist Negotiable.",105 Rossland Rd W,L1Z1S8,Ajax
"17 Top St, Ajax, ONTARIO, CANADA, L1Z1E4",Detached,Sidesplit 4,Ajax,Central,36,95,"$839,000 ","$799,000 ",2018-02-28,Top,17,4,1,3,Attached,6,Inground,2017-11-14,2017-12-20,"Sat & Sun - Open House! Showstopper! A Unique Home At The End Of A Quiet Street With An Extra Deep Lot -- A Must See! Renovated With A Modern Open Concept Layout, The House Has An Inviting And Cozy Feel! The Best Part Is Its Location -- Central Ajax -- Close To All The Amenities, Yet Have A Cottage Feel! Hardwood Floors, Stainless Steel Appliances, Granite Counter Tops, Pot Lights, Upgraded Light Fixtures, Gorgeous Sun Room With Hot Tub; Large Inground Pool","The Extra Deep Lot Has Huge Potential To Rebuild A Custom Home In Future With No Neighbours In The Back! Incl:S/S Fridge,S/S Stove, S/S B/I Dishwasher,All Elfs,All Window Coverings, Central A/C,2 Sheds,Self-Clean Robot Pool Cleaner,Hot Tub",17 Top St,L1Z1E4,Ajax
"5 Willcocks Cres, Ajax, ONTARIO, CANADA, L1T3L9",Detached,2-Storey,Ajax,Central,14,100,"$878,000 ","$876,000 ",2018-03-09,Willcocks,5,4,1,4,Attached,4,None,2017-11-09,2017-11-23,"A Gorgeous Newly Renovated From Top To Bottom, Up To 3800 Sqft Of Living Space. This House Is Located In The Heart Of Ajax, Custom Built-In Kitchen Aid Appliances, Granite Counter-Tops, Hardwood Thru-Out Main And 2nd Flr. Super Clean, Open Concept Finished Bsmt, Wet Bar, Gym, 3Pc Washroom With Fitted Shower Stall. Hot Tub Jacuzzi In Backyard, Irrigation System, Insulated Garage, Pot Lights And The List Goes On!",Please Attach Sched. B And Form 801. With All Offers. Buyer Or Buyers Agent To Verify All Measurements And Taxes. Offers All Welcome Anytime!,5 Willcocks Cres,L1T3L9,Ajax
"212 Wright Cres, Ajax, ONTARIO, CANADA, L1S6X2",Att/Row/Twn...,2-Storey,Ajax,Central,15,100,"$549,000 ","$551,000 ",2018-03-06,Wright,212,3,1,3,Attached,2,None,2017-12-07,2017-12-22,"Beautifully Updated End Unit Townhouse In A Nice Family Neighborhood. Newly Renovated Kitchen And Bathroom. New Black Stainless Steel Appliances. Beautiful Gas Fireplace. Walk To The Go Train Or 3 Minutes Drive To 401. 25 Minute Drive To Downtown Toronto. New Finished Basement With A Bedroom And Family Room. Great Backyard For Kids And Dogs. Bbq On The Deck. Double Car Driveway. New Roof, Living Room Windows And Patio Doors (2010). Virtual Tour","New Black Stainless Steel Fridge, Gas Stove, Dishwasher. New Washer And Dryer. Gas Fireplace. All Light Fixtures And Blinds. New Roof, Living Room Windows And Patio Doors (2010). How Water Heater Is Rental",212 Wright Cres,L1S6X2,Ajax
"48 Allard Ave, Ajax, ONTARIO, CANADA, L1Z1A7",Detached,2-Storey,Ajax,Central East,36,97,"$599,999 ","$580,000 ",2018-01-31,Allard,48,3,,1,Attached,2,None,2017-10-17,2017-11-22,"Fantastic Home In A Great Neighbourhood. Oasis Like Backyard With Water Feature.Bathroom (2014), House Roof Re-Shingled (2009),Garage Roof Re-Shingled (2006), Furnace (2011 ),Kitchen And Living Room Bay Window (2011),Garage Door (2010). Walkout To A Large Deck And Great Backyard . Walking Distance To French Immersion School , Transit , Restaurants , Shopping , Coffee Shops , Close To Hwy 401.","Fridge , Stove , Dishwasher , Washer & Dryer",48 Allard Ave,L1Z1A7,Ajax
"18 Bazin Rd, Ajax, ONTARIO, CANADA, L1Z0N2",Detached,2-Storey,Ajax,Central East,15,98,"$699,900 ","$688,000 ",2018-03-07,Bazin,18,4,,4,Built-In,2,None,2017-11-07,2017-11-22,"Its Love At First Sight,A Modern,Spacious & Stunning Beautifully Designed Sun Dial Home With Open Concept & Double Door Main Entry,Located In An Absolute Family Oriented Neighborhood.This 4 Bedroom Sun Filled Detached Home With Glass And Stone Back Splash In Kitchen And 5 Inches Baseboard In Main Floor,Family Room Is Decorated With Ledge Sotne Accent Wall,Minutes To Hospital,Go Station.Hwy(401,407/412),Schools,Public Transit,Golf Course,Shopping Complex.","S/Steel Double Door Fridge, S/Steel Stove, Dishwasher, All Electrical Fixtures, Second Floor Laundry, Pot Lights (Interior & Exterior), Led Under Mount Kitchen Lights Etc...",18 Bazin Rd,L1Z0N2,Ajax
"31 Chaston Rd, Ajax, ONTARIO, CANADA, L1Z 0M6",Att/Row/Twn...,3-Storey,Ajax,Central East,24,98,"$479,900 ","$470,000 ",2018-03-17,Chaston,31,2,,3,Attached,2,None,2017-12-18,2018-01-11,"Preferred End-Unit Townhome In Highly Sought-After Neighbourhood Of Mulberry Meadows On A Bright Street (Located Across From Lower Height Detached Homes). This 1240 Sq Ft Beauty Boasts Lots Of Natural Light, Sparkling Bathrooms, Spacious Master W 4-Pc Ensuite & W/I Closet, Entertainers Kitchen W Island/Breakfast Counter, Newly Upgraded Backsplash & Stainless Steel Appliances. Open Concept Main Floor W W/O To Balcony For Year-Round B.B.Q.","Added Convenience: Bdrm-Level Laundry & Ground Floor Access To Garage. Includes: Transferable Tarion Warranty, S/S Fridge, Stove & B/I Dishwasher, Washer & Dryer, G.D.O. & Remote. (A/C Unit At Side Of Home, Not Taking Up Space On Balcony)",31 Chaston Rd,L1Z 0M6,Ajax
"30 Clowes St, Ajax, ONTARIO, CANADA, L1Z0K9",Att/Row/Twn...,3-Storey,Ajax,Central East,29,97,"$449,900 ","$435,000 ",2018-03-20,Clowes,30,2,,1,Built-In,1,None,2017-11-21,2017-12-20,"Cozy Freehold Townhouse (No Monthly Maintenance Fees) -Perfect For First-Time Buyers & Empty Nesters. Since This Home Requires Very Little Yard Work And Maintenances You Can Spend More Time Relaxing And Enjoying The Nearby Audley Recreation Centre Where You Can Swim Laps, Enjoy The Fitness/Dance Studio Or Head Outside To The Basketball And Tennis Courts. After That You Can Easily Get Together With Friends/Family At Symposium Cafe Or Tim Hortons Only 1Km Away!","5 Mins To The 401 And 412, Walk 400 Meters Or 5Mins To Public Transit. Comes With Existing Kitchen Appliances, Washer, Dryer. Hot Water Tank Is A Rental",30 Clowes St,L1Z0K9,Ajax
"111 Devineridge Ave, Ajax, ONTARIO, CANADA, L1Z0K6",Att/Row/Twn...,3-Storey,Ajax,Central East,8,100,"$489,000 ","$489,000 ",2018-04-11,Devineridge,111,3,,2,Attached,1,None,2018-01-10,2018-01-18,"Freehold Hownhouse $0 Maintenance Fees! 1400 Sqft Of Living Space In This 3 Yr Old Townhome In Beautiful/Quiet Community. Hardwood On Main And 2nd Floor Living Spaces With Lrg Contemporary Eat In Kitchen. Large Living Room With W/O To Bbq Friendly Terrace. California Shutters Throughout. Upgraded Light Fixtures. Laundry And Roughed In Bathroom In Basement. Close To 401,407&412, Public Transit, Shopping, Medical And Schools Close By.","Ss Fridge And Stove, All Elfs, Washer Dryer, Cac..",111 Devineridge Ave,L1Z0K6,Ajax
"21 Gaskin St, Ajax, ONTARIO, CANADA, L1Z0R5",Detached,2-Storey,Ajax,Central East,82,93,"$699,800 ","$649,500 ",2017-12-31,Gaskin,21,4,,3,Built-In,2,None,2017-09-08,2017-11-29,"Welcome To The Gorgeous Wheatley Model, Built By Sundial Homes, In The Heart Of Mulberry Meadows In Ajax. 4 Bedrooms, 2 Year Old Detached North Facing Home. Large & Open Concept Kitchen With Central Island. Huge & Bright Family & Dinning Room. Cozy Living Room.Fenced Backyard. Covered Porch. 2 Cars Driveway. Still Under Tarion Warranty. Well Maintained Property With Pride Of Ownership.","Fridge, Stove, Built In Dishwasher, Washer & Dryer, Built In Microwave. Double Door Entry, No Sidewalk, Laundry On 2nd Floor. Garage Direct Access To Home, New Proposed School To Be Built Steps Away. Minutes To Hwy 401/407/412.",21 Gaskin St,L1Z0R5,Ajax
"138 Goss Lane, Ajax, ONTARIO, CANADA, L1Z0E3",Detached,2-Storey,Ajax,Central East,13,98,"$599,900 ","$585,000 ",2018-02-24,Goss,138,4,,3,Attached,1,None,2017-11-24,2017-12-07,"Welcome To This Spacious Open Concept Layout 4 Bedroom Home.This Home Features Laminate Flooring On Main Flr, Oak Staircase, Upgrade Kitchen With Backsplash, S/S Appliances,Breakfast Area With W/O To Patio, 4-Pc Ensuite & W/I Closet In Master Bedrm,Study Area On 2nd Flr Garage Access From Interior,No Side Walk & So Much More. This Home Is In Immaculate, Ready To Move-In Condition & Located Close To Audley Rec Centre, Shopping, Steps To Bus Stand.","S/S Fridge, S/S Stove, B/I Dishwasher,Washer, Dryer, All Elf's, Garage Door Opener With Remotes, & All Window Coverings. Please Note Hot Water Tank Is Rental & Alarm System Is Rental & Can Be Either Assumed Or Removed As Per Buyer's Request",138 Goss Lane,L1Z0E3,Ajax
